1026,"Why?","History/World/Global History/Geopolitics/Diplomacy           "
1027,"The Collapse of the System","History/Political History/Crisis/Transitions/Revolutions/Regime Change/Reform           "
1028,"Does Talk of Race Foster Prejudice or Tolerance in Children?","Social Psychology/Social Cognition/Race and Ethnicity           "
1029,"Implicit and Explicit Prejudice and Interracial Interaction","Social Psychology/Social Cognition/Prejudice, Stigma and Discrimination           "
1030,"Differential Social Perception and Attribution of Intergroup Violence: Testing the Lower Limits of Stereotyping of Blacks","Social Psychology/Social Cognition/Race and Ethnicity           "
1031,"Improving Intergroup Relations: The Effects of Empathy on Racial Attitudes","Social Psychology/Social Cognition/Race and Ethnicity           "
1032,"Putting the Brakes on Prejudice: On the Development and Operation of Cues for Control","Social Psychology/Social Cognition/Prejudice, Stigma and Discrimination           "
1033,"Subtle and Blatant Prejudice in Western Europe","Social Psychology/Social Cognition/Prejudice, Stigma and Discrimination           "
1034,"Perspective Taking and Prejudice Reduction: The Mediational Role of Empathy Arousal and Situation Attributions","Social Psychology/Social Cognition/Race and Ethnicity           "
1035,"Power","History/Social and Cultural History/Cuisine/Commercialization/Production           "
1036,"Melting Pot, Salad Bowl - Cauldron? Manipulation and Mobilization of Ethnic and Religious Identities in Central Asia","History/Political History/Ideology and Regimes/Nationalism/National Identity           "
1037,"Cultural Roots","History/Political History/Ideology and Regimes/Nationalism/National Identity           "
1038,"Language and Symbolic Power","History/Political History/Ideology and Regimes/Hegemony and Imperialism           "
1039,"Islamic Economics and the Islamic Subeconomy","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Religious Approach           "
1040,"The White Woman's Burden: British Feminists and The Indian Woman, 1865-1915","History/Political History/Colonial/Postcolonial History           "
1041,"Defining Social Imperialism: Use and Abuse of an Idea","History/Political History/Ideology and Regimes/Hegemony and Imperialism           "
1042,"Two Lectures","History/Political History/Ideology and Regimes/Hegemony and Imperialism           "
1043,"Ideology as a Cultural System","About Social Science/Scientific Knowledge and Method           "
1044,"Nation: Real or Imagined? The Warwick Debates on Nationalism, The","History/Political History/Ideology and Regimes/Nationalism/National Identity           "
1045,"The People in History","History/Political History/Ideology and Regimes/Hegemony and Imperialism           "
1046,"The Prose of Counter-Insurgency","History/Political History/Ideology and Regimes/Nationalism/National Identity           "
1047,"Condition of Post-Modernity: An Enquiry into the Origins of Cultural Change, The","History/World/Global History/Concept/Definition           "
1048,"The Invention of Tradition","History/Political History/Ideology and Regimes/Nationalism/National Identity           "
1049,"Power and Culture: The Japanese-American War, 1941-1945","History/Political History/Ideology and Regimes/Hegemony and Imperialism           "
1050,"The Genesis of Islamic Economics: A Chapter in the Politics of Muslim Identity","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Religious Approach           "
1051,"Genealogies, Legacies, Movements","History/Political History/Ideology and Regimes/Democracy           "
1052,"Between Memory and History: Les Lieux de Memoire","History/Political History/Ideology and Regimes/Nationalism/National Identity           "
1053,"Can the Subaltern Speak?","History/Political History/Ideology and Regimes/Communism/Socialism           "
1054,"Bismarck's Imperialism, 1862-90","History/Political History/Ideology and Regimes/Hegemony and Imperialism           "
1055,"Culture, Class, City: The National Gallery, London and the Spaces of Education, 1822-57","History/Social and Cultural History/Museums/Art Museums           "
1056,"1968 and all that: The Founding of the National Portrait Gallery, Washington DC","History/Social and Cultural History/Museums/Art Museums           "
1057,"The Battle over 'The West as America,' 1991","History/Social and Cultural History/Museums/Art Museums           "
1058,"Doing Social Economics in a Postmodern World","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Social/ Humanistic/ Contextual Economics           "
1059,"Blinded by 'Science': Ethnography at the British Museum","History/Social and Cultural History/Museums/Anthropology, Archaeology, Ethnology Museums           "
1060,"The Politics of Display: A 'Literary and Historical' Definition of Quebec in 1830s British North America","History/Social and Cultural History/Museums/National Museums           "
1061,"Norman Rockwell and the Saturday Evening Post: Advertising, Iconography and Mass Production, 1879-1929","History/Social and Cultural History/Museums/Art Museums           "
1062,"Cultured into Crisis: The Arts Council of Great Britain","History/Social and Cultural History/Museums/National Museums           /           /GDAE/Economics as a Social Science"
1063,"The Modern Art Museum","History/Social and Cultural History/Museums/Art Museums           "
1064,"The Scope and Promising Future of Social Economics","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Social/ Humanistic/ Contextual Economics           "
1065,"The Museum in a Postmodern Era: The Musee D'orsay","History/Social and Cultural History/Museums/Art Museums           "
1066,"The Sainsbury Wing and Beyond: The National Gallery Today","History/Social and Cultural History/Museums/Art Museums           "
1067,"Africa on Display: Exhibiting Art by Africans","History/Social and Cultural History/Museums/Art Museums           "
1068,"Heritage and the Country House","History/Social and Cultural History/Museums/National Museums           "
1069,"Contemporary Art in Ireland, Part One: Institutions, Viewers and Artists","History/Social and Cultural History/Museums/Art Museums           "
1070,"Contemporary Art in Ireland, Part Two: Alice Maher and Willie Doherty-Location, Identity and Practice","History/Social and Cultural History/Museums/Art Museums           "
1071,"Museums and the Formation of National and Cultural Identities","History/Social and Cultural History/Museums/National Museums           "
1072,"Always True to the Object, in Our Fashion","History/Social and Cultural History/Museums/Museums Study and Theory           "
1073,"Histories of the Tribal and the Modern","History/Social and Cultural History/Museums/Anthropology, Archaeology, Ethnology Museums           "
1074,"An Elite Experience for Everyone': Art Museums, the Public, and Cultural Literacy","History/Social and Cultural History/Museums/Art Museums           "
1075,"Identity as Self-Discovery: The Ecomuseum in France","History/Social and Cultural History/Museums/Museums Study and Theory           "
1076,"Quatremere/Benjamin/Marx: Art Museums, Aura, and Commodity Fetishism","History/Social and Cultural History/Museums/Art Museums           "
1077,"From Ruins to Debris: The Feminization of Fascism in German-History Museums","History/Social and Cultural History/Museums/History Museums           "
1078,"Selling Nations: International Exhibitions and Cultural Diplomacy","History/Social and Cultural History/Museums/National Museums           "
1079,"Challenges Facing Social Economics in the Twenty-First Century: A Radical Democratic Perspective","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Social/ Humanistic/ Contextual Economics           "
1080,"Cardinal Issues in the Future of Social Economics: A Humanistic View","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Social/ Humanistic/ Contextual Economics           "
1081,"Colonial Archives and the Arts of Governance","History/Social and Cultural History/Archives           "
1082,"The Archive State and the Fear of Pollution: From the Opium Wars to Fu Manchu","History/Social and Cultural History/Archives           "
1083,"The Ordinariness of the Archive","History/Social and Cultural History/Archives           "
1084,"“The Battle of Methods”: Toward a Paradigm Shift?","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Social/ Humanistic/ Contextual Economics           "
1085,"Production","History/Social and Cultural History/Cuisine/Commercialization/Production           "
1086,"Whither UN Peacekeeping","History/World/Global History/Political Institutions/United Nations           "
1087,"The Conference Opens","History/World/Global History/Geopolitics/Cold War           "
1088,"Poland: The Best He Could Get","History/World/Global History/Geopolitics/Cold War           "
1089,"The United Nations","History/World/Global History/Geopolitics/Cold War           "
1090,"Second Thoughts and Conclusions","History/World/Global History/Geopolitics/Cold War           "
1091,"Getting Over There: A Social Analysis of Women's Enlistment","History/Social and Cultural History/Gender/Activism           "
1092,"Cultural Dimensions of Globalization","History/Social and Cultural History/Culture as Commodity           "
1093,"Global Arrogance and the Crisis of Hegemony","History/Political History/Ideology and Regimes/Hegemony and Imperialism           "
1094,"The Economic Calculation Debate: Lessons for Socialists","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Marxist/Political Economy Approach           "
1095,"Soft Power","History/Political History/Governance/Legitimacy           "
1096,"The Hidden Hand of Economic Coercion","History/Economic History/Financial Markets, Financial Institutions, and Monetary History/International           "
1097,"International Cooperation in Economic and Security Affairs","Political Science/International Relations/Conflict, Peace, and Security/International Security           "
1098,"The International Politics of Harmonization: The Case of Capital Market Regulation","History/Economic History/Globalization/Economic Integration           "
1099,"Responsibility and Accountability by International Institutions: Sub-Saharan Africa in the 1990s","History/Political History/Governance/Legitimacy           "
1100,"Introduction: Promoting Responsible Sovereignty in Africa","History/Political History/Governance/Reform           "
1101,"The Idea of Europe: Cultural Legacies, Transnational Imaginings, and the Nation-State","History/World/Global History/Borders and Regions/Boundaries and Borderlands           "
1102,"This is Ghanaian Territory': Land Conflicts in a West African Border","History/World/Global History/Borders and Regions/Disputes/Conflicts           "
1103,"From Open Door to World Systems: Economic Interpretations of Late Nineteenth Century American Foreign Relations","History/World/Global History/Empires/Imperialism/Imperial Diplomacy           "
1104,"The Water Poverty Index: Development and Application at the Community Scale","Economics/Development/Poverty and Inequality/Basic Needs           "
1105,"The Dot Heard Around the World","Economics/Development/Markets/Business Ethics           /           /GDAE/Environmental Policy and Sustainable Development"
1106,"The Evolution of the Imperial Idea and U.S. National Identity","History/World/Global History/Empires/Imperialism/Consequences and Critiques           "
1107,"Travel and World Power: Americans in Europe, 1890-1917","History/World/Global History/Empires/Imperialism/Rise/Fall           "
1108,"United States Indian Policy and the Debate Over Philippines Annexation: Implications for the Origins of American Imperialism","History/World/Global History/Borders and Regions/Border Establishment           "
1109,"Empire by Invitation? The United States and Western Europe, 1945-52","History/World/Global History/Empires/Imperialism/Rise/Fall           "
1110,"Global Migration, 1846-1940","History/World/Global History/Migration/Migration Patterns           "
1111,"Hegemony or Empire?","History/World/Global History/Empires/Imperialism/Consequences and Critiques           "
1112,"Imperialism and the Victorians: The Dynamics of Territorial Expansion","History/Political History/Colonial/Postcolonial History           "
1113,"Beyond Compliance: Sustainable Business Practices and the Bottom Line","Economics/Development/Markets/Business Ethics           "
1114,"War for the Imperium","History/World/Global History/Empires/Imperialism/Consequences and Critiques           "
1115,"Dual Mandates: Collaboration and the Racial State","History/Political History/Colonial/Postcolonial History           "
1116,"Borders and Ethnic Conflict","History/World/Global History/Borders and Regions/Disputes/Conflicts           "
1117,"Ethnic Cleansing and Enemy Nations","History/World/Global History/Borders and Regions/Disputes/Conflicts           "
1118,"Global Overview","History/Political History/Governance/Minority Groups           "
1119,"The Ethical Limitations of the Market","Economics/Development/Markets/Business Ethics           "
1120,"Strategies and Recommendations","History/Political History/Governance/Minority Groups           "
1121,"The Sandino Rebellion Revisited: Civil War, Imperialism, Popular Nationalism, and State Formation Muddied Up Together in the Segovias of Nicaragua, 1926-1934","History/World/Global History/Empires/Imperialism/Consequences and Critiques           "
1122,"From Welfare Capitalism to the Free Market in Chile: Gender, Culture and Politics in the Copper Mines","History/World/Global History/Empires/Imperialism/Consequences and Critiques           "
1123,"Falling into the World, 1914-1990","History/World/Global History/Empires/Imperialism/Rise/Fall           "
1124,"China: Foreign Policy, Human Rights, and Trade","History/World/Global History/Geopolitics/Diplomacy           "
1125,"The Challenges of Global Governance","History/Political History/Governance/Legitimacy           "
1126,"Promoting Human Development and Economic Well-Being","History/Social and Cultural History/Health, Education, and WellBeing           "
1127,"The Shadow Theatre of Ethnicity","History/Political History/Governance/Legitimacy           "
1128,"An Empire of Consumption","History/World/Global History/Empires/Imperialism/Rise/Fall           "
1129,"American 'Imperialism' After 9/11","History/World/Global History/Empires/Imperialism/Consequences and Critiques           "
1130,"A Bit of Bolshevik Sociology: Workers Write About Their Jobs","Economics/Development/Markets/Business Ethics           "
1131,"The Imperialism of Decolonization","History/Political History/Colonial/Postcolonial History           "
1132,"Studying the Politics of Development and Change: The State of the Art","History/Political History/Governance/Legitimacy           "
1133,"Weak States and International Legitimacy","History/Political History/Governance/Legitimacy           "
1134,"A Structural-Historical Approach to the Breakdown of Democratic Institutions: Peru","History/Political History/Governance/Legitimacy           "
1135,"Incomplete Transition/Near Consolidation? Chile","History/Political History/Crisis/Transitions/Revolutions/Regime Change/Reform           "
1136,"Exploitation, Class Conflict, and Socialism: The Ethical Materialism of John Roemer","History/Political History/Ideology and Regimes/Communism/Socialism           "
1137,"Introduction: Gramsci","History/Political History/Ideology and Regimes/Communism/Socialism           "
1138,"Three Principles and Three Kinds of Political Order","History/Political History/Ideology and Regimes/Communism/Socialism           "
1139,"Remembering the History of the Cotton-Workers' Struggle","History/Political History/Ideology and Regimes/Communism/Socialism           "
1140,"Two Revolutions","History/Political History/Ideology and Regimes/Communism/Socialism           "
1141,"Women and Leadership: The State of Play","History/Political History/Governance/Leadership Examples (Good and Bad): Western           "
1142,"Tamerlane's Shadow","History/Political History/Colonial/Postcolonial History           "
1143,"Well-Being","History/Social and Cultural History/Health, Education, and WellBeing           "
1144,"Evaluation and Recommendations","History/Political History/Governance/Reform           "
1145,"From Cold War to Multilateral Détente","History/World/Global History/Geopolitics/Cold War           "
1146,"Empire by Integration: The United States and European Integration, 1945-1996","History/World/Global History/Empires/Imperialism/Rise/Fall           "
1147,"The Making of 'Pax Americana'","History/World/Global History/Empires/Imperialism/Rise/Fall           "
1148,"Ironies and Turning Points: Détente in Perspective","History/World/Global History/Geopolitics/Cold War           "
1149,"The Allied Council of Foreign Ministers Conferences and the German Question, 1945-1947","History/World/Global History/Geopolitics/Cold War           "
1150,"Supervised Democratization: American Occupation and German Politics","History/Political History/Colonial/Postcolonial History           "
1151,"The United States and the German Question, 1949-1968","History/World/Global History/Geopolitics/Cold War           "
1152,"The Political Consequences of the Depression: Fascism in Europe, Populism in Latin America and Freedom Movements in the Colonies","History/Political History/Crisis/Transitions/Revolutions/Regime Change/Reform           "
1153,"Development of the United Nations: The First Three Development Decades","History/Political History/Governance/Legitimacy           "
1154,"The British Empire: Africa","History/Political History/Colonial/Postcolonial History           "
1155,"The CSCE as a Model for the Third World? The Middle East and African Cases","History/Political History/International Organizations/Movements/NGOs/Political           "
1156,"Organizational Landscape of U.S. Foreign Aid","History/Political History/Governance/Legitimacy           "
1157,"Structure and Processes of the U.S. Agency for International Development","History/Political History/Governance/Legitimacy           "
1158,"Introduction: The Myths of British Foreign Policy","History/Political History/Colonial/Postcolonial History           "
1159,"The Reform of the Soviet System and the Demise of the Soviet State","Economics/Economic Policy/Economic Management and Reforms           "
1160,"Looking for Solidarnosc in Central Asia: The Role of Human Rights Organizations in Political Change","Political Science/Public Administration/NonGovernmental Organizations           "
1161,"Who is Happy?","Economics/WellBeing/Evaluation of WellBeing           "
1162,"The Spiritual Significance of Jihad","Philosophy/War/Jihad           "
1163,"The Concept and Practice of Jihad in Islam","Philosophy/War/Jihad           "
1164,"Al-Shaybani and the Islamic Law of War","Philosophy/War/Jihad           "
1165,"Saving and Taking Life in War: Three Modern Muslim Views","Philosophy/War/Jihad           "
1166,"Striking a Just Balance: Maulana Azad as a Theorist of Trans-National Jihad","Philosophy/War/Jihad           "
1167,"Quality-of-Life (QOL) Marketing: Proposed Antecedents and Consequences","Economics/Development/Markets/Business Ethics           /           /Economics/WellBeing/Evaluation of WellBeing"
1168,"Another View of Development, Ecological Degradation, and North-South Trade","Economics/Development/Development Theory and Critique/Approaches and Prerequisites           "
1169,"The Multinational Corporation and Social Justice: Experiments in Supranational Governance","Economics/Development/Markets/Business Ethics           "
1170,"Some Thoughts on Everyday Green Economics","Economics/Development/Markets/Business Ethics           "
1171,"Corporate Social Responsibility","Economics/Development/Markets/Business Ethics           "
1172,"Sustainability and the Accountable Corporation","Economics/Development/Markets/Business Ethics           "
1173,"Neoliberal Economic Reforms and Workers of the Third World at the End of the Second Millennium of the Christian Era","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1174,"Capitalist Exploitation, Self-Ownership, and Equality","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1175,"Distributive Justice and Desirable Ends of Economic Activity","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           /           /Economics/WellBeing/The Economy and WellBeing/           /Philosophy/Rights and Justice/Distributive Justice/Economic Structure and Distribution"
1176,"Toward a Philosophy of Economics Education","Economics/Economics as a Social Science/Economics Education           "
1177,"What do Bosses Do? The Origins and Functions of Hierarchy in Capitalist Production","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1178,"Economic Liberalism","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1179,"Institutional Framework and Economic Development: International Evidence","Economics/Development/Institutions           "
1180,"Ecological Modernisation around the World: Perspectives and Critical Debates","Economics/Development/Sustainability/Policy, Politics and Theory           "
1181,"Morality and the Marketplace","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1182,"The Normative Basis of Economic Science","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1183,"The Limits of American Capitalism","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1184,"Property and its Enemies, Part II: Is Ownership a Myth?","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1185,"Social Change, the Middle Class and the Emergence of “New Social Movements”: A Critical Analysis","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1186,"Tomorrow","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1187,"From Contested Terrain","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1188,"The Left's Critique of Capitalism","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1189,"A Capitalist Economy","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
1190,"The Equity Impacts of Community Financing Initiatives in Africa","Economics/Development/Institutions           "
1191,"Rethinking Ecological and Economic Education: A Gestalt Shift","Economics/Economics as a Social Science/Capitalism and Culture/Community           "
1192,"Sharing the Burden of Disease: Gender, the Household Division of Labor and the Health Effects of Indoor Air Pollution","Sociology/Family and Kinship/Gender Inequality           /           /Economics/Development/Women and Children/Health and Welfare"
1193,"Learning About a New Technology: Pineapple in Ghana","Sociology/Culture and Society/Diffusionism and Cultural Change           /           /Economics/Development/Agrarian Economy and Society/Peasant and Informal Economies"
1194,"Defending, Reclaiming and Reinventing the Commons","Economics/Economics as a Social Science/Capitalism and Culture/Community           "
1195,"Kenneth Boulding's Grants Economics","Economics/Economics as a Social Science/Capitalism and Culture/Community           "
1196,"Consumed in Theory: Alternative Perspectives on the Economics of Consumption","Economics/Economics as a Social Science/Capitalism and Culture/Consumption/ Consumerism           /           /GDAE/Economic Theory"
1197,"A Human View of Human Needs","Economics/Economics as a Social Science/Capitalism and Culture/Consumption/ Consumerism           "
1198,"An Essay on Economic Reforms and Social Change in China","Economics/Economic Policy/Development Policy           "
1199,"Consumption in Contemporary Capitalism: Beyond Marx and Veblen: A Comment ","Economics/Economics as a Social Science/Capitalism and Culture/Consumption/ Consumerism           "
1200,"Saving Rates in Latin American: Why Reformers Got It Wrong","Economics/Development/Development Theory and Critique/Approaches and Prerequisites           "
1201,"Consumerism and the Industrial Revolution","Economics/Economics as a Social Science/Capitalism and Culture/Consumption/ Consumerism           "
1202,"Institutional Economics and Consumption","Economics/Economics as a Social Science/Capitalism and Culture/Consumption/ Consumerism           "
1203,"Beyond Chayanov: Investment Decisions in the Rural Third World: The Viewpoint of Farmers, Bankers, and the Central Government","Economics/Development/Agrarian Economy and Society/Agriculture and Industry           "
1204,"Materialism and Modern Political Philosophy","Economics/Economics as a Social Science/Capitalism and Culture/Consumption/ Consumerism           "
1205,"Land Reform Distribution of Land &amp; Institutions in Rural Ethiopia: Analysis of Inequality with Dirty Data","Economics/Development/Agrarian Economy and Society/Land Use and Tenure, Income and Equity           "
1206,"Education and the Poverty Trap in Rural China","Economics/Development/Poverty and Inequality/Alleviation of Poverty  Programs and Policies           "
1207,"Consumption in Contemporary Capitalism: Beyond Marx and Veblen ","Economics/Economics as a Social Science/Capitalism and Culture/Consumption/ Consumerism           "
1208,"Should Preferences Count?","Economics/Economics as a Social Science/Capitalism and Culture/Consumption/ Consumerism           /           /Economics/WellBeing/Consumption and WellBeing/           /Philosophy/WellBeing/Personal Good/Preference/Desire Satisfaction"
1209,"Overwork in the Household","Economics/Economics as a Social Science/Capitalism and Culture/Consumption/ Consumerism           /           /Economics/WellBeing/Work"
1210,"The Logic of Contested Exchange","Economics/Economics as a Social Science/Economic Ideas/Marx and Marxism           "
1211,"Pigou's Solution","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Ecological/ Sustainability Approach           "
1212,"Environmentalists: Vanguard for a New Society","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Ecological/ Sustainability Approach           "
1213,"Evolutionary Theories in Environmental and Resource Economics: Approaches and Applications","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Ecological/ Sustainability Approach           "
1214,"Contested Exchange: Political Economy and Modern Economic Theory","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Marxist/Political Economy Approach           "
1215,"Family Demography, Social Theory and Investment in Social Capital","Economics/Economics as a Social Science/Economic Ideas/Women and Families           "
1216,"Where Do Babies Come From?","Economics/Economics as a Social Science/Economic Ideas/Women and Families           "
1217,"From Parents to Children: Intra-Household Altruism as Institutional Behavior","Economics/Economics as a Social Science/Economic Ideas/Women and Families           "
1218,"Incomes, Expenditures, and Health Outcomes: Evidence on Intrahousehold Resource Allocation","Economics/Economics as a Social Science/Economic Ideas/Women and Families           /           /Economics/WellBeing/Human Development/Families and Households"
1219,"Economic Rationality and Globalization: A Feminist Perspective","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Feminist Approach           "
1220,"Homo Economicus and Femina Economica","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Feminist Approach           "
1221,"The Feminine Economy","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Feminist Approach           "
1222,"Feminism, Postcolonial Thought, and Economics","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Feminist Approach           "
1223,"The Separative Self: Androcentric Bias in Neoclassical Assumptions","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Feminist Approach           "
1224,"Contracting for Care","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Feminist Approach           "
1225,"Introductory Economics Textbooks and the Treatment of Issues Relating to Women and Minorities, 1984 and 1991","Economics/Economics as a Social Science/Economics Education           "
1226,"How Does She Know? Feminist Theories of Gender Bias in Economics","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Feminist Approach           "
1227,"Early Mainland Southeast Asian Landscapes in the First Millennium a.d.","Anthropology/Archaeology/Historical Archaeology           "
1228,"Women in the Economics Profession","Economics/Economics as a Social Science/Economics Education           "
1229,"The Feminist Challenge to Economics","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Feminist Approach           "
1230,"Man Bad, Woman Good? Essentialisms and Ecofeminisms","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Feminist Approach           "
1231,"Towards a Feminist International Political Economy","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Feminist Approach           "
1232,"Feminist Theory and Racial Economic Inequality","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Feminist Approach           "
1233,"Charlotte Perkins Gilman: Reassessing Her Significance for Feminism and Social Economics","Economics/Economics as a Social Science/Economic Ideas/Women and Families           "
1234,"Development, Ecology and Women","Economics/Development/Women and Children/Feminism and Organization           /           /Philosophy/The Environment/Deep Ecology"
1235,"Hypersign, Hypermoney, Hypermarket: Adam Muller's Theory of Money and Romantic Semiotics","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Moral/ Ethical/ Values Approach           "
1236,"Capitalisms in Late Modernity","Anthropology/Social/Cultural Anthropology/Subsistence and Economic Practices, Organization, and Structure/Economics and Culture           /           /Economics/Economics as a Social Science/Capitalism and Culture/Capitalism"
1237,"A Rhetorical Conception of Practical Rationality","Economics/Economics as a Social Science/Economic Ideas/Ways of Thinking           "
1238,"Catalhoyuk in the Context of the Middle Eastern Neolithic","Anthropology/Archaeology/Historical Archaeology           "
1239,"Rules, Contract and Institution in the Wage-Labor Relationship: A Return to Institutionalism?","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Institutionalist/ Evolutionary Approach           "
1240,"The Chaîne Opératoire Approach in Middle Paleolithic Archaeology","Anthropology/Archaeology/Ethnoarchaeology           "
1241,"Diet, Tuberculosis, and the Paleopathological Record","Anthropology/Biological/Physical Anthropology/Biology, Eugenics, and Racism           "
1242,"Toward a Culture-Conception of Technology","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Institutionalist/ Evolutionary Approach           "
1243,"Divination and Power A Multiregional View of the Development of Oracle Bone Divination in Early China","Anthropology/Archaeology/Historical Archaeology           "
1244,"Radical Institutionalism: From Technological to Democratic Instrumentalism","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Institutionalist/ Evolutionary Approach           "
1245,"Ecology and Freedom: Ecology and the Crisis of Capitalism","Economics/Globalization/Global Environmental Issues/Ecology and Resources           "
1246,"John R. Commons and Herbert A. Simon on the Concept of Rationality","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Institutionalist/ Evolutionary Approach           "
1247,"The New Institutionalism Contradictory Notions of Change","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Institutionalist/ Evolutionary Approach           "
1248,"Narrative In Political Science","Anthropology/Methods and Approaches/Other           "
1249,"What Is the Essence of Institutional Economics?","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Institutionalist/ Evolutionary Approach           "
